1,Lamiaceae,Lamiacées,1
2,Asteraceae,Astéracées,1
3,Liliaceae,Liliacées,2
4,Apiaceae,Apiacées,3
5,Rosaceae,Rosacées,3
6,Scrophulariaceae,Scrofulariacées,1
7,Fabaceae,Légumineuses,3
